=== 数据准备度抽样样本 (覆盖全部八批及期初差异/动态同步细分) ===
单位ID=0001 | 批次=1 | 状态=已导入   | 期初差异=    0.00 | 动态成功=100 | 失败= 0 | 待处理=  0 | 最近同步=2026-08-30 16:12:00
单位ID=0002 | 批次=1 | 状态=已导入   | 期初差异=    0.00 | 动态成功=100 | 失败= 0 | 待处理=  0 | 最近同步=2026-08-30 14:16:00
单位ID=0003 | 批次=1 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 96 | 失败= 4 | 待处理=  0 | 最近同步=2026-08-30 17:44:00
单位ID=0004 | 批次=1 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 99 | 失败= 1 | 待处理=  0 | 最近同步=2026-08-30 08:50:00
单位ID=0005 | 批次=1 | 状态=已导入   | 期初差异=    0.00 | 动态成功=100 | 失败= 0 | 待处理=  0 | 最近同步=2026-08-30 17:33:00
单位ID=0006 | 批次=1 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 99 | 失败= 1 | 待处理=  0 | 最近同步=2026-08-30 12:20:00
单位ID=0007 | 批次=1 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 96 | 失败= 4 | 待处理=  0 | 最近同步=2026-08-30 18:27:00
单位ID=0008 | 批次=1 | 状态=已导入   | 期初差异=    0.00 | 动态成功=100 | 失败= 0 | 待处理=  0 | 最近同步=2026-08-30 09:38:00
单位ID=0009 | 批次=1 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 98 | 失败= 2 | 待处理=  0 | 最近同步=2026-08-30 09:34:00
单位ID=0010 | 批次=1 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 99 | 失败= 1 | 待处理=  0 | 最近同步=2026-08-30 20:12:00
单位ID=0097 | 批次=2 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 97 | 失败= 3 | 待处理=  0 | 最近同步=2026-08-30 13:53:00
单位ID=0098 | 批次=2 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 98 | 失败= 2 | 待处理=  0 | 最近同步=2026-08-30 15:34:00
单位ID=0099 | 批次=2 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 99 | 失败= 1 | 待处理=  0 | 最近同步=2026-08-30 19:37:00
单位ID=0100 | 批次=2 | 状态=已导入   | 期初差异=    0.00 | 动态成功=100 | 失败= 0 | 待处理=  0 | 最近同步=2026-08-30 09:37:00
单位ID=0101 | 批次=2 | 状态=已导入   | 期初差异=    0.00 | 动态成功=100 | 失败= 0 | 待处理=  0 | 最近同步=2026-08-30 11:28:00
单位ID=0102 | 批次=2 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 97 | 失败= 3 | 待处理=  0 | 最近同步=2026-08-30 21:35:00
单位ID=0103 | 批次=2 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 98 | 失败= 2 | 待处理=  0 | 最近同步=2026-08-30 19:58:00
单位ID=0104 | 批次=2 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 97 | 失败= 3 | 待处理=  0 | 最近同步=2026-08-30 17:23:00
单位ID=0105 | 批次=2 | 状态=已导入   | 期初差异=    0.00 | 动态成功= 97 | 失败= 3 | 待处理=  0 | 最近同步=2026-08-30 18:45:00
