=== 双轨运行比对抽样样本 (一致/不一致) ===
ID=00001 | 单位ID=0001 | 类型=业务单据金额核对   | 旧系统=  3420232.60 | 新系统=  3420232.60 | 差异=    0.00 | 结论=一致   | 日期=2026-02-21
ID=00002 | 单位ID=0001 | 类型=凭证借贷汇总核对   | 旧系统=   100126.73 | 新系统=   100126.73 | 差异=    0.00 | 结论=一致   | 日期=2025-11-17
ID=00003 | 单位ID=0001 | 类型=月末科目余额比对   | 旧系统=  3435952.10 | 新系统=  3435952.10 | 差异=    0.00 | 结论=一致   | 日期=2026-02-08
ID=00004 | 单位ID=0002 | 类型=业务单据金额核对   | 旧系统=  3379219.26 | 新系统=  3379219.26 | 差异=    0.00 | 结论=一致   | 日期=2026-05-02
ID=00005 | 单位ID=0002 | 类型=凭证借贷汇总核对   | 旧系统=   780257.90 | 新系统=   780257.90 | 差异=    0.00 | 结论=一致   | 日期=2026-04-18
ID=00006 | 单位ID=0002 | 类型=月末科目余额比对   | 旧系统=  3783224.26 | 新系统=  3783224.26 | 差异=    0.00 | 结论=一致   | 日期=2026-07-07
ID=00007 | 单位ID=0003 | 类型=业务单据金额核对   | 旧系统=  4105584.12 | 新系统=  4105584.12 | 差异=    0.00 | 结论=一致   | 日期=2026-01-09
ID=00008 | 单位ID=0003 | 类型=凭证借贷汇总核对   | 旧系统=  2388862.63 | 新系统=  2388862.63 | 差异=    0.00 | 结论=一致   | 日期=2026-05-25
ID=00009 | 单位ID=0003 | 类型=月末科目余额比对   | 旧系统=  4383983.92 | 新系统=  4383983.92 | 差异=    0.00 | 结论=一致   | 日期=2026-03-22
ID=00010 | 单位ID=0004 | 类型=业务单据金额核对   | 旧系统=   983878.25 | 新系统=   983878.25 | 差异=    0.00 | 结论=一致   | 日期=2026-02-23
ID=00011 | 单位ID=0004 | 类型=凭证借贷汇总核对   | 旧系统=  3348930.56 | 新系统=  3348930.56 | 差异=    0.00 | 结论=一致   | 日期=2025-11-10
ID=00012 | 单位ID=0004 | 类型=月末科目余额比对   | 旧系统=  4477531.89 | 新系统=  4477531.89 | 差异=    0.00 | 结论=一致   | 日期=2026-07-20
ID=00013 | 单位ID=0005 | 类型=业务单据金额核对   | 旧系统=  2050824.23 | 新系统=  2051151.94 | 差异=  327.71 | 结论=不一致  | 日期=2026-03-30
ID=00014 | 单位ID=0005 | 类型=凭证借贷汇总核对   | 旧系统=  4131294.73 | 新系统=  4131294.73 | 差异=    0.00 | 结论=一致   | 日期=2026-07-26
ID=00015 | 单位ID=0005 | 类型=月末科目余额比对   | 旧系统=  3784145.12 | 新系统=  3784145.12 | 差异=    0.00 | 结论=一致   | 日期=2026-04-27
ID=00016 | 单位ID=0006 | 类型=业务单据金额核对   | 旧系统=  1863444.55 | 新系统=  1863444.55 | 差异=    0.00 | 结论=一致   | 日期=2026-07-15
ID=00017 | 单位ID=0006 | 类型=凭证借贷汇总核对   | 旧系统=  2205572.18 | 新系统=  2205572.18 | 差异=    0.00 | 结论=一致   | 日期=2026-02-15
ID=00018 | 单位ID=0006 | 类型=月末科目余额比对   | 旧系统=  3391078.22 | 新系统=  3391078.22 | 差异=    0.00 | 结论=一致   | 日期=2025-12-30
ID=00019 | 单位ID=0007 | 类型=业务单据金额核对   | 旧系统=  4359643.38 | 新系统=  4359643.38 | 差异=    0.00 | 结论=一致   | 日期=2026-02-08
ID=00020 | 单位ID=0007 | 类型=凭证借贷汇总核对   | 旧系统=  3266457.69 | 新系统=  3266457.69 | 差异=    0.00 | 结论=一致   | 日期=2026-02-28
ID=00021 | 单位ID=0007 | 类型=月末科目余额比对   | 旧系统=  3846376.50 | 新系统=  3846376.50 | 差异=    0.00 | 结论=一致   | 日期=2026-01-09
ID=00022 | 单位ID=0008 | 类型=业务单据金额核对   | 旧系统=  1623314.47 | 新系统=  1623314.47 | 差异=    0.00 | 结论=一致   | 日期=2025-11-24
ID=00023 | 单位ID=0008 | 类型=凭证借贷汇总核对   | 旧系统=  3574887.43 | 新系统=  3574887.43 | 差异=    0.00 | 结论=一致   | 日期=2025-12-27
ID=00024 | 单位ID=0008 | 类型=月末科目余额比对   | 旧系统=  4845746.82 | 新系统=  4846450.82 | 差异=  704.00 | 结论=不一致  | 日期=2026-04-28
ID=00025 | 单位ID=0009 | 类型=业务单据金额核对   | 旧系统=   571385.33 | 新系统=   571385.33 | 差异=    0.00 | 结论=一致   | 日期=2026-07-13
ID=00026 | 单位ID=0009 | 类型=凭证借贷汇总核对   | 旧系统=  4550068.12 | 新系统=  4550068.12 | 差异=    0.00 | 结论=一致   | 日期=2026-04-21
ID=00027 | 单位ID=0009 | 类型=月末科目余额比对   | 旧系统=  2374455.91 | 新系统=  2374455.91 | 差异=    0.00 | 结论=一致   | 日期=2026-04-27
ID=00028 | 单位ID=0010 | 类型=业务单据金额核对   | 旧系统=  1697907.96 | 新系统=  1697907.96 | 差异=    0.00 | 结论=一致   | 日期=2025-11-19
ID=00029 | 单位ID=0010 | 类型=凭证借贷汇总核对   | 旧系统=   761146.59 | 新系统=   761146.59 | 差异=    0.00 | 结论=一致   | 日期=2025-11-03
ID=00030 | 单位ID=0010 | 类型=月末科目余额比对   | 旧系统=  1017940.84 | 新系统=  1017940.84 | 差异=    0.00 | 结论=一致   | 日期=2026-01-21
ID=00031 | 单位ID=0011 | 类型=业务单据金额核对   | 旧系统=  4013428.46 | 新系统=  4013428.46 | 差异=    0.00 | 结论=一致   | 日期=2026-03-14
ID=00032 | 单位ID=0011 | 类型=凭证借贷汇总核对   | 旧系统=  3609600.59 | 新系统=  3609600.59 | 差异=    0.00 | 结论=一致   | 日期=2026-01-22
ID=00033 | 单位ID=0011 | 类型=月末科目余额比对   | 旧系统=  3484952.60 | 新系统=  3484952.60 | 差异=    0.00 | 结论=一致   | 日期=2026-04-04
ID=00034 | 单位ID=0012 | 类型=业务单据金额核对   | 旧系统=   868905.92 | 新系统=   868905.92 | 差异=    0.00 | 结论=一致   | 日期=2026-08-11
ID=00035 | 单位ID=0012 | 类型=凭证借贷汇总核对   | 旧系统=  1588143.16 | 新系统=  1588143.16 | 差异=    0.00 | 结论=一致   | 日期=2025-11-14
ID=00036 | 单位ID=0012 | 类型=月末科目余额比对   | 旧系统=  2415384.33 | 新系统=  2415384.33 | 差异=    0.00 | 结论=一致   | 日期=2026-02-15
ID=00037 | 单位ID=0013 | 类型=业务单据金额核对   | 旧系统=  4514608.58 | 新系统=  4514608.58 | 差异=    0.00 | 结论=一致   | 日期=2026-06-19
ID=00038 | 单位ID=0013 | 类型=凭证借贷汇总核对   | 旧系统=  2815809.23 | 新系统=  2815809.23 | 差异=    0.00 | 结论=一致   | 日期=2026-06-09
ID=00039 | 单位ID=0013 | 类型=月末科目余额比对   | 旧系统=  2837297.51 | 新系统=  2837297.51 | 差异=    0.00 | 结论=一致   | 日期=2025-11-17
ID=00040 | 单位ID=0014 | 类型=业务单据金额核对   | 旧系统=  4090222.54 | 新系统=  4090222.54 | 差异=    0.00 | 结论=一致   | 日期=2025-11-18
ID=00041 | 单位ID=0014 | 类型=凭证借贷汇总核对   | 旧系统=   562327.79 | 新系统=   562327.79 | 差异=    0.00 | 结论=一致   | 日期=2026-05-07
ID=00042 | 单位ID=0014 | 类型=月末科目余额比对   | 旧系统=  1336378.54 | 新系统=  1337132.69 | 差异=  754.15 | 结论=不一致  | 日期=2026-03-31
ID=00043 | 单位ID=0015 | 类型=业务单据金额核对   | 旧系统=  2904229.01 | 新系统=  2904229.01 | 差异=    0.00 | 结论=一致   | 日期=2026-02-22
ID=00044 | 单位ID=0015 | 类型=凭证借贷汇总核对   | 旧系统=  1355471.48 | 新系统=  1355471.48 | 差异=    0.00 | 结论=一致   | 日期=2026-06-01
ID=00045 | 单位ID=0015 | 类型=月末科目余额比对   | 旧系统=  3860986.51 | 新系统=  3860986.51 | 差异=    0.00 | 结论=一致   | 日期=2026-01-20
ID=00046 | 单位ID=0016 | 类型=业务单据金额核对   | 旧系统=  4903342.65 | 新系统=  4903633.97 | 差异=  291.32 | 结论=不一致  | 日期=2026-08-17
ID=00047 | 单位ID=0016 | 类型=凭证借贷汇总核对   | 旧系统=  4992258.76 | 新系统=  4992258.76 | 差异=    0.00 | 结论=一致   | 日期=2026-07-08
ID=00048 | 单位ID=0016 | 类型=月末科目余额比对   | 旧系统=  2564302.11 | 新系统=  2564302.11 | 差异=    0.00 | 结论=一致   | 日期=2026-07-05
ID=00049 | 单位ID=0017 | 类型=业务单据金额核对   | 旧系统=  2878065.63 | 新系统=  2878065.63 | 差异=    0.00 | 结论=一致   | 日期=2026-05-18
ID=00050 | 单位ID=0017 | 类型=凭证借贷汇总核对   | 旧系统=  2442313.63 | 新系统=  2442313.63 | 差异=    0.00 | 结论=一致   | 日期=2026-05-11
ID=00051 | 单位ID=0017 | 类型=月末科目余额比对   | 旧系统=  1011836.17 | 新系统=  1011836.17 | 差异=    0.00 | 结论=一致   | 日期=2026-02-11
ID=00052 | 单位ID=0018 | 类型=业务单据金额核对   | 旧系统=  1963267.21 | 新系统=  1963267.21 | 差异=    0.00 | 结论=一致   | 日期=2026-06-08
ID=00053 | 单位ID=0018 | 类型=凭证借贷汇总核对   | 旧系统=  4424927.40 | 新系统=  4424927.40 | 差异=    0.00 | 结论=一致   | 日期=2026-06-15
ID=00054 | 单位ID=0018 | 类型=月末科目余额比对   | 旧系统=  3120049.20 | 新系统=  3120049.20 | 差异=    0.00 | 结论=一致   | 日期=2025-12-12
ID=00055 | 单位ID=0019 | 类型=业务单据金额核对   | 旧系统=  3458617.67 | 新系统=  3458617.67 | 差异=    0.00 | 结论=一致   | 日期=2026-06-21
ID=00056 | 单位ID=0019 | 类型=凭证借贷汇总核对   | 旧系统=  3817709.95 | 新系统=  3817709.95 | 差异=    0.00 | 结论=一致   | 日期=2026-06-04
ID=00057 | 单位ID=0019 | 类型=月末科目余额比对   | 旧系统=  1028102.06 | 新系统=  1028102.06 | 差异=    0.00 | 结论=一致   | 日期=2026-02-20
ID=00058 | 单位ID=0020 | 类型=业务单据金额核对   | 旧系统=  1177286.92 | 新系统=  1177286.92 | 差异=    0.00 | 结论=一致   | 日期=2026-08-25
ID=00059 | 单位ID=0020 | 类型=凭证借贷汇总核对   | 旧系统=   612384.69 | 新系统=   612384.69 | 差异=    0.00 | 结论=一致   | 日期=2026-07-16
ID=00060 | 单位ID=0020 | 类型=月末科目余额比对   | 旧系统=  4257364.74 | 新系统=  4257364.74 | 差异=    0.00 | 结论=一致   | 日期=2026-02-11
ID=00061 | 单位ID=0021 | 类型=业务单据金额核对   | 旧系统=    89300.42 | 新系统=    89300.42 | 差异=    0.00 | 结论=一致   | 日期=2026-02-28
