=== 接口集成流水抽样样本 (SUCCESS/FAIL/RETRY) ===
ID=000001 | 凭证ID=000001 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-08-16 10:04:51 | 信息=集成成功
ID=000002 | 凭证ID=000002 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-12-27 04:54:36 | 信息=集成成功
ID=000003 | 凭证ID=000003 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-06-09 20:56:38 | 信息=集成成功
ID=000004 | 凭证ID=000004 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-09 21:59:18 | 信息=集成成功
ID=000005 | 凭证ID=000005 | 状态=FAIL    | 重试次数=1 | 错误码=ERR_AUTH     | 响应时间=2026-03-16 13:54:12 | 信息=接口鉴权过期
ID=000006 | 凭证ID=000007 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-22 11:52:58 | 信息=集成成功
ID=000007 | 凭证ID=000008 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-28 03:33:50 | 信息=集成成功
ID=000008 | 凭证ID=000009 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-07-01 08:58:27 | 信息=集成成功
ID=000009 | 凭证ID=000010 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-11-29 21:23:46 | 信息=集成成功
ID=000010 | 凭证ID=000011 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-05-22 17:48:49 | 信息=集成成功
ID=000011 | 凭证ID=000012 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-08-12 19:43:08 | 信息=集成成功
ID=000012 | 凭证ID=000013 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-07-31 05:31:17 | 信息=集成成功
ID=000013 | 凭证ID=000014 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-05-23 20:17:12 | 信息=集成成功
ID=000014 | 凭证ID=000015 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-11 02:16:37 | 信息=集成成功
ID=000015 | 凭证ID=000016 | 状态=FAIL    | 重试次数=1 | 错误码=ERR_AUTH     | 响应时间=2026-07-09 02:04:37 | 信息=接口鉴权过期
ID=000016 | 凭证ID=000017 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-06-22 14:18:26 | 信息=集成成功
ID=000017 | 凭证ID=000018 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-06-22 14:18:26 | 信息=集成成功
ID=000018 | 凭证ID=000019 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-08-14 08:17:49 | 信息=集成成功
ID=000019 | 凭证ID=000020 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-08-14 08:17:49 | 信息=集成成功
ID=000020 | 凭证ID=000021 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-07-26 21:54:08 | 信息=集成成功
ID=000021 | 凭证ID=000022 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-07-26 21:54:08 | 信息=集成成功
ID=000022 | 凭证ID=000023 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-05-29 06:25:23 | 信息=集成成功
ID=000023 | 凭证ID=000024 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-05-29 06:25:23 | 信息=集成成功
ID=000024 | 凭证ID=000025 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-02-05 06:33:34 | 信息=集成成功
ID=000025 | 凭证ID=000026 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-11-23 21:15:48 | 信息=集成成功
ID=000026 | 凭证ID=000027 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-06-16 15:28:59 | 信息=集成成功
ID=000027 | 凭证ID=000028 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-07-10 03:12:53 | 信息=集成成功
ID=000028 | 凭证ID=000029 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-06-15 19:09:34 | 信息=集成成功
ID=000029 | 凭证ID=000030 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-06 07:30:12 | 信息=集成成功
ID=000030 | 凭证ID=000031 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-08-20 08:27:42 | 信息=集成成功
ID=000031 | 凭证ID=000032 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-02 09:08:32 | 信息=集成成功
ID=000032 | 凭证ID=000033 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-07-21 13:52:03 | 信息=集成成功
ID=000033 | 凭证ID=000034 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-11-18 06:47:51 | 信息=集成成功
ID=000034 | 凭证ID=000035 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-11-18 06:47:51 | 信息=集成成功
ID=000035 | 凭证ID=000036 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-16 10:51:44 | 信息=集成成功
ID=000036 | 凭证ID=000037 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-16 10:51:44 | 信息=集成成功
ID=000037 | 凭证ID=000038 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-15 22:48:04 | 信息=集成成功
ID=000038 | 凭证ID=000039 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-15 22:48:04 | 信息=集成成功
ID=000039 | 凭证ID=000041 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-03-08 10:40:48 | 信息=集成成功
ID=000040 | 凭证ID=000042 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-03 12:18:02 | 信息=集成成功
ID=000041 | 凭证ID=000043 | 状态=FAIL    | 重试次数=1 | 错误码=ERR_AUTH     | 响应时间=2026-01-09 23:36:43 | 信息=接口鉴权过期
ID=000042 | 凭证ID=000044 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-05-14 06:52:31 | 信息=集成成功
ID=000043 | 凭证ID=000045 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-11-05 05:13:29 | 信息=集成成功
ID=000044 | 凭证ID=000046 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-27 20:46:02 | 信息=集成成功
ID=000045 | 凭证ID=000047 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-20 13:12:20 | 信息=集成成功
ID=000046 | 凭证ID=000048 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-03-03 04:33:25 | 信息=集成成功
ID=000047 | 凭证ID=000049 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-24 01:09:17 | 信息=集成成功
ID=000048 | 凭证ID=000050 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-07-15 16:24:28 | 信息=集成成功
ID=000049 | 凭证ID=000051 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-22 15:39:02 | 信息=集成成功
ID=000050 | 凭证ID=000052 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-05-04 13:04:48 | 信息=集成成功
ID=000051 | 凭证ID=000053 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-08-04 13:11:44 | 信息=集成成功
ID=000052 | 凭证ID=000054 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-05-12 14:22:36 | 信息=集成成功
ID=000053 | 凭证ID=000055 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-05-12 11:36:06 | 信息=集成成功
ID=000054 | 凭证ID=000056 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-07-24 09:24:47 | 信息=集成成功
ID=000055 | 凭证ID=000057 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-12-20 12:42:36 | 信息=集成成功
ID=000056 | 凭证ID=000058 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-07-03 05:35:14 | 信息=集成成功
ID=000057 | 凭证ID=000059 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-09 12:43:14 | 信息=集成成功
ID=000058 | 凭证ID=000060 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-02-01 16:42:50 | 信息=集成成功
ID=000059 | 凭证ID=000061 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-12-21 14:09:47 | 信息=集成成功
ID=000060 | 凭证ID=000062 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-24 05:06:50 | 信息=集成成功
ID=000061 | 凭证ID=000063 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-02-28 08:28:34 | 信息=集成成功
ID=000062 | 凭证ID=000064 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-12-07 12:22:18 | 信息=集成成功
ID=000063 | 凭证ID=000065 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-17 13:00:09 | 信息=集成成功
ID=000064 | 凭证ID=000066 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-17 13:00:09 | 信息=集成成功
ID=000065 | 凭证ID=000067 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-05 02:40:02 | 信息=集成成功
ID=000066 | 凭证ID=000068 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-05 02:40:02 | 信息=集成成功
ID=000067 | 凭证ID=000069 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-11-24 12:45:25 | 信息=集成成功
ID=000068 | 凭证ID=000070 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-11-24 12:45:25 | 信息=集成成功
ID=000069 | 凭证ID=000071 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-09 15:58:15 | 信息=集成成功
ID=000070 | 凭证ID=000072 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-09 15:58:15 | 信息=集成成功
ID=000071 | 凭证ID=000073 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-20 10:07:20 | 信息=集成成功
ID=000072 | 凭证ID=000074 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-04-20 10:07:20 | 信息=集成成功
ID=000073 | 凭证ID=000075 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-12-14 12:45:13 | 信息=集成成功
ID=000074 | 凭证ID=000076 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-08-29 13:02:09 | 信息=集成成功
ID=000075 | 凭证ID=000077 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-11-06 09:18:34 | 信息=集成成功
ID=000076 | 凭证ID=000078 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-03-17 05:15:09 | 信息=集成成功
ID=000077 | 凭证ID=000079 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2025-12-21 13:39:48 | 信息=集成成功
ID=000078 | 凭证ID=000080 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-01-16 20:10:22 | 信息=集成成功
ID=000079 | 凭证ID=000081 | 状态=SUCCESS | 重试次数=0 | 错误码=NONE         | 响应时间=2026-05-17 12:37:10 | 信息=集成成功
