=== 覆盖八批及全部34省级行政区的单位抽样样本 ===
ID=0019 | 批次=1 | 状态=稳定运行    | 地区=北京市      | 名称=武陵发展研究所
ID=0033 | 批次=1 | 状态=稳定运行    | 地区=天津市      | 名称=盛京发展研究院
ID=0023 | 批次=1 | 状态=稳定运行    | 地区=河北省      | 名称=青州文化传播控股有限公司
ID=0027 | 批次=1 | 状态=稳定运行    | 地区=山西省      | 名称=雍州环保股份有限公司
ID=0029 | 批次=1 | 状态=稳定运行    | 地区=内蒙古自治区   | 名称=豫章商业有限公司
ID=0001 | 批次=1 | 状态=稳定运行    | 地区=辽宁省      | 名称=羊城林业研究院
ID=0017 | 批次=1 | 状态=稳定运行    | 地区=吉林省      | 名称=江城文化传播有限公司
ID=0034 | 批次=1 | 状态=稳定运行    | 地区=黑龙江省     | 名称=濂溪历史研究院
ID=0015 | 批次=1 | 状态=稳定运行    | 地区=上海市      | 名称=江城环保有限公司
ID=0014 | 批次=1 | 状态=稳定运行    | 地区=江苏省      | 名称=濂溪智能数字工坊
ID=0008 | 批次=1 | 状态=稳定运行    | 地区=浙江省      | 名称=青城金融设计院
ID=0010 | 批次=1 | 状态=稳定运行    | 地区=安徽省      | 名称=蓟州金融数字工坊
ID=0004 | 批次=1 | 状态=稳定运行    | 地区=福建省      | 名称=少林能源技术服务部
ID=0021 | 批次=1 | 状态=稳定运行    | 地区=江西省      | 名称=琅琊通信有限公司
ID=0012 | 批次=1 | 状态=稳定运行    | 地区=山东省      | 名称=金陵新材料研究所
ID=0007 | 批次=1 | 状态=稳定运行    | 地区=河南省      | 名称=建康制造研究所
ID=0009 | 批次=1 | 状态=稳定运行    | 地区=湖北省      | 名称=徐州发展控股有限公司
ID=0032 | 批次=1 | 状态=稳定运行    | 地区=湖南省      | 名称=武当勘测规划数字工坊
ID=0022 | 批次=1 | 状态=稳定运行    | 地区=广东省      | 名称=益州精密制造控股有限公司
ID=0002 | 批次=1 | 状态=稳定运行    | 地区=广西壮族自治区  | 名称=象山文理书院
ID=0003 | 批次=1 | 状态=稳定运行    | 地区=海南省      | 名称=青州投资数字工坊
ID=0026 | 批次=1 | 状态=稳定运行    | 地区=重庆市      | 名称=白沙实业有限责任公司
ID=0018 | 批次=1 | 状态=稳定运行    | 地区=四川省      | 名称=石鼓艺术研究院
ID=0028 | 批次=1 | 状态=稳定运行    | 地区=贵州省      | 名称=广陵能源有限公司
ID=0005 | 批次=1 | 状态=稳定运行    | 地区=云南省      | 名称=青城生物科技事业部
ID=0013 | 批次=1 | 状态=稳定运行    | 地区=西藏自治区    | 名称=奉天生物科技研究院
ID=0011 | 批次=1 | 状态=稳定运行    | 地区=陕西省      | 名称=盛京新材料股份有限公司
ID=0025 | 批次=1 | 状态=稳定运行    | 地区=甘肃省      | 名称=琴岛现代物流有限公司
ID=0006 | 批次=1 | 状态=稳定运行    | 地区=青海省      | 名称=临安水务技术服务部
ID=0016 | 批次=1 | 状态=稳定运行    | 地区=宁夏回族自治区  | 名称=兰亭物联运营管理部
ID=0030 | 批次=1 | 状态=稳定运行    | 地区=新疆维吾尔自治区 | 名称=龙场精密制造事业部
ID=0024 | 批次=1 | 状态=稳定运行    | 地区=台湾省      | 名称=巴陵软件事业部
ID=0020 | 批次=1 | 状态=稳定运行    | 地区=香港特别行政区  | 名称=鹅湖数字创意有限公司
ID=0031 | 批次=1 | 状态=稳定运行    | 地区=澳门特别行政区  | 名称=汴京软件研究所
ID=0097 | 批次=2 | 状态=稳定运行    | 地区=宁夏回族自治区  | 名称=象山历史设计院
ID=0098 | 批次=2 | 状态=稳定运行    | 地区=天津市      | 名称=平城光电研究所
ID=0099 | 批次=2 | 状态=稳定运行    | 地区=四川省      | 名称=少林信息技术有限公司
ID=0100 | 批次=2 | 状态=稳定运行    | 地区=台湾省      | 名称=峨眉光电运营管理部
ID=0101 | 批次=2 | 状态=稳定运行    | 地区=云南省      | 名称=云梦网络科技有限公司
ID=0102 | 批次=2 | 状态=稳定运行    | 地区=上海市      | 名称=兰亭金融数字工坊
ID=0103 | 批次=2 | 状态=稳定运行    | 地区=辽宁省      | 名称=岳麓智能有限公司
ID=0104 | 批次=2 | 状态=稳定运行    | 地区=山西省      | 名称=江城咨询服务控股有限公司
ID=0105 | 批次=2 | 状态=稳定运行    | 地区=海南省      | 名称=石鼓林业数字工坊
ID=0106 | 批次=2 | 状态=稳定运行    | 地区=湖北省      | 名称=少林教育创新工场
ID=0107 | 批次=2 | 状态=稳定运行    | 地区=四川省      | 名称=象山实业股份有限公司
ID=0108 | 批次=2 | 状态=稳定运行    | 地区=河南省      | 名称=燕京投资有限公司
ID=0109 | 批次=2 | 状态=稳定运行    | 地区=上海市      | 名称=蓬莱贸易运营管理部
ID=0110 | 批次=2 | 状态=稳定运行    | 地区=宁夏回族自治区  | 名称=武昌生物科技事业部
ID=0111 | 批次=2 | 状态=稳定运行    | 地区=浙江省      | 名称=武当金融有限责任公司
ID=0234 | 批次=3 | 状态=稳定运行    | 地区=浙江省      | 名称=洞庭咨询服务研究院
ID=0235 | 批次=3 | 状态=稳定运行    | 地区=山西省      | 名称=石鼓生物科技集团有限公司
ID=0236 | 批次=3 | 状态=稳定运行    | 地区=甘肃省      | 名称=锦官能源有限公司
ID=0237 | 批次=3 | 状态=稳定运行    | 地区=香港特别行政区  | 名称=太白光电有限公司
ID=0238 | 批次=3 | 状态=稳定运行    | 地区=河北省      | 名称=白沙数字创意技术服务部
ID=0239 | 批次=3 | 状态=稳定运行    | 地区=广西壮族自治区  | 名称=蜀山科技事业部
ID=0240 | 批次=3 | 状态=稳定运行    | 地区=海南省      | 名称=江城医药技术服务部
ID=0241 | 批次=3 | 状态=稳定运行    | 地区=上海市      | 名称=问津教育研习社
ID=0242 | 批次=3 | 状态=稳定运行    | 地区=内蒙古自治区   | 名称=建康文化传播设计院
ID=0243 | 批次=3 | 状态=稳定运行    | 地区=宁夏回族自治区  | 名称=临安精密制造有限公司
ID=0244 | 批次=3 | 状态=稳定运行    | 地区=西藏自治区    | 名称=白鹿洞生物科技创新工场
ID=0245 | 批次=3 | 状态=稳定运行    | 地区=西藏自治区    | 名称=洞庭传媒有限责任公司
ID=0246 | 批次=3 | 状态=稳定运行    | 地区=宁夏回族自治区  | 名称=鹅湖研究院
ID=0247 | 批次=3 | 状态=稳定运行    | 地区=吉林省      | 名称=青城能源创新工场
ID=0248 | 批次=3 | 状态=稳定运行    | 地区=西藏自治区    | 名称=兰亭数字创意集团有限公司
ID=0398 | 批次=4 | 状态=已上线     | 地区=北京市      | 名称=雍州实业研究所
ID=0399 | 批次=4 | 状态=已上线     | 地区=内蒙古自治区   | 名称=洛阳投资创新工场
ID=0400 | 批次=4 | 状态=已上线     | 地区=上海市      | 名称=蜀山发展工程中心
ID=0401 | 批次=4 | 状态=已上线     | 地区=云南省      | 名称=洞庭物联研究所
ID=0402 | 批次=4 | 状态=稳定运行    | 地区=西藏自治区    | 名称=江城数据有限责任公司
ID=0403 | 批次=4 | 状态=已上线     | 地区=宁夏回族自治区  | 名称=盛京科技有限公司
ID=0404 | 批次=4 | 状态=已上线     | 地区=河南省      | 名称=武陵现代物流研究所
ID=0405 | 批次=4 | 状态=已上线     | 地区=黑龙江省     | 名称=羊城教育事业部
ID=0406 | 批次=4 | 状态=已上线     | 地区=天津市      | 名称=象山创新学会
ID=0407 | 批次=4 | 状态=已上线     | 地区=山西省      | 名称=燕京制造股份有限公司
ID=0408 | 批次=4 | 状态=稳定运行    | 地区=江西省      | 名称=临安智能数字工坊
ID=0409 | 批次=4 | 状态=稳定运行    | 地区=海南省      | 名称=蜀山商业技术服务部
ID=0410 | 批次=4 | 状态=已上线     | 地区=澳门特别行政区  | 名称=石鼓环保技术服务部
ID=0411 | 批次=4 | 状态=已上线     | 地区=安徽省      | 名称=凉州教育股份有限公司
ID=0412 | 批次=4 | 状态=已上线     | 地区=云南省      | 名称=武陵工程技术工程中心
ID=0579 | 批次=5 | 状态=已上线     | 地区=浙江省      | 名称=洛阳环保设计院
ID=0580 | 批次=5 | 状态=双轨运行中   | 地区=江西省      | 名称=长安新能源数字工坊
ID=0581 | 批次=5 | 状态=已上线     | 地区=山西省      | 名称=燕京数据有限公司
ID=0582 | 批次=5 | 状态=已上线     | 地区=云南省      | 名称=洞庭金融创新工场
ID=0583 | 批次=5 | 状态=已上线     | 地区=山东省      | 名称=少林制造有限公司
ID=0584 | 批次=5 | 状态=双轨运行中   | 地区=湖北省      | 名称=洛阳投资技术服务部
ID=0585 | 批次=5 | 状态=已上线     | 地区=浙江省      | 名称=洛阳新能源控股有限公司
ID=0586 | 批次=5 | 状态=已上线     | 地区=浙江省      | 名称=长安新能源有限公司
ID=0587 | 批次=5 | 状态=双轨运行中   | 地区=江西省      | 名称=云梦金融股份有限公司
ID=0588 | 批次=5 | 状态=已上线     | 地区=吉林省      | 名称=潇湘工程技术有限公司
ID=0589 | 批次=5 | 状态=已上线     | 地区=山西省      | 名称=紫阳创新学会
ID=0590 | 批次=5 | 状态=已上线     | 地区=新疆维吾尔自治区 | 名称=武陵能源技术服务部
ID=0591 | 批次=5 | 状态=已上线     | 地区=辽宁省      | 名称=岳麓林业控股有限公司
ID=0592 | 批次=5 | 状态=已上线     | 地区=湖北省      | 名称=武昌软件研究所
ID=0593 | 批次=5 | 状态=已上线     | 地区=云南省      | 名称=濂溪教育研习社
ID=0782 | 批次=6 | 状态=双轨运行中   | 地区=香港特别行政区  | 名称=扬州网络科技控股有限公司
ID=0783 | 批次=6 | 状态=已具备双轨条件 | 地区=甘肃省      | 名称=盛京生物科技分公司
ID=0784 | 批次=6 | 状态=双轨运行中   | 地区=安徽省      | 名称=金陵文化传播设计院
ID=0785 | 批次=6 | 状态=双轨运行中   | 地区=北京市      | 名称=浔阳数字创意数字工坊
ID=0786 | 批次=6 | 状态=已具备双轨条件 | 地区=贵州省      | 名称=嵩阳历史研习社
ID=0787 | 批次=6 | 状态=双轨运行中   | 地区=重庆市      | 名称=青州文旅有限公司
ID=0788 | 批次=6 | 状态=双轨运行中   | 地区=贵州省      | 名称=濂溪精密制造事业部
