=== 推广状态历史推进快照抽样样本 (覆盖全部八批) ===
单位ID=0001 | 日期=2025-11-01 | 推进状态=未启动
单位ID=0001 | 日期=2025-11-08 | 推进状态=准备中
单位ID=0001 | 日期=2025-11-15 | 推进状态=已具备双轨条件
单位ID=0001 | 日期=2025-11-22 | 推进状态=已具备双轨条件
单位ID=0001 | 日期=2025-11-29 | 推进状态=双轨运行中
单位ID=0001 | 日期=2025-12-06 | 推进状态=已上线
单位ID=0001 | 日期=2025-12-13 | 推进状态=已上线
单位ID=0001 | 日期=2025-12-19 | 推进状态=稳定运行
单位ID=0001 | 日期=2025-12-20 | 推进状态=稳定运行
单位ID=0001 | 日期=2025-12-27 | 推进状态=稳定运行
单位ID=0001 | 日期=2026-01-03 | 推进状态=稳定运行
单位ID=0001 | 日期=2026-01-10 | 推进状态=稳定运行
单位ID=0001 | 日期=2026-01-17 | 推进状态=稳定运行
单位ID=0001 | 日期=2026-01-24 | 推进状态=稳定运行
单位ID=0001 | 日期=2026-01-31 | 推进状态=稳定运行
单位ID=0097 | 日期=2025-11-01 | 推进状态=未启动
单位ID=0097 | 日期=2025-11-08 | 推进状态=未启动
单位ID=0097 | 日期=2025-11-15 | 推进状态=未启动
单位ID=0097 | 日期=2025-11-22 | 推进状态=未启动
单位ID=0097 | 日期=2025-11-29 | 推进状态=未启动
单位ID=0097 | 日期=2025-12-06 | 推进状态=未启动
单位ID=0097 | 日期=2025-12-13 | 推进状态=未启动
单位ID=0097 | 日期=2025-12-19 | 推进状态=未启动
单位ID=0097 | 日期=2025-12-20 | 推进状态=未启动
单位ID=0097 | 日期=2025-12-27 | 推进状态=未启动
单位ID=0097 | 日期=2026-01-03 | 推进状态=未启动
单位ID=0097 | 日期=2026-01-10 | 推进状态=准备中
单位ID=0097 | 日期=2026-01-17 | 推进状态=已具备双轨条件
单位ID=0097 | 日期=2026-01-24 | 推进状态=双轨运行中
单位ID=0097 | 日期=2026-01-31 | 推进状态=双轨运行中
单位ID=0234 | 日期=2025-11-01 | 推进状态=未启动
单位ID=0234 | 日期=2025-11-08 | 推进状态=未启动
单位ID=0234 | 日期=2025-11-15 | 推进状态=未启动
单位ID=0234 | 日期=2025-11-22 | 推进状态=未启动
单位ID=0234 | 日期=2025-11-29 | 推进状态=未启动
单位ID=0234 | 日期=2025-12-06 | 推进状态=未启动
单位ID=0234 | 日期=2025-12-13 | 推进状态=未启动
单位ID=0234 | 日期=2025-12-19 | 推进状态=未启动
单位ID=0234 | 日期=2025-12-20 | 推进状态=未启动
单位ID=0234 | 日期=2025-12-27 | 推进状态=未启动
单位ID=0234 | 日期=2026-01-03 | 推进状态=未启动
单位ID=0234 | 日期=2026-01-10 | 推进状态=未启动
单位ID=0234 | 日期=2026-01-17 | 推进状态=未启动
单位ID=0234 | 日期=2026-01-24 | 推进状态=未启动
单位ID=0234 | 日期=2026-01-31 | 推进状态=未启动
单位ID=0398 | 日期=2025-11-01 | 推进状态=未启动
单位ID=0398 | 日期=2025-11-08 | 推进状态=未启动
单位ID=0398 | 日期=2025-11-15 | 推进状态=未启动
