=== 培训记录抽样样本 (覆盖全部4类培训及全部8个批次) ===
ID=0003 | 单位ID=0003 | 批次=1 | 类型=项目管理与关键用户培训      | 日期=2025-11-08 | 形式=线上集中 | 应到=71 | 实到=62 | 考核通关=61 | 认证=43
ID=0006 | 单位ID=0006 | 批次=1 | 类型=业务操作与财务处理培训      | 日期=2025-12-06 | 形式=现场实操 | 应到=77 | 实到=69 | 考核通关=64 | 认证=0
ID=0001 | 单位ID=0001 | 批次=1 | 类型=数据准备与系统管理培训      | 日期=2025-12-07 | 形式=线上集中 | 应到=47 | 实到=42 | 考核通关=37 | 认证=0
ID=0005 | 单位ID=0005 | 批次=1 | 类型=双轨运行与上线切换培训      | 日期=2025-12-16 | 形式=现场实操 | 应到=65 | 实到=56 | 考核通关=51 | 认证=0
ID=0106 | 单位ID=0106 | 批次=2 | 类型=项目管理与关键用户培训      | 日期=2026-01-26 | 形式=混合实训 | 应到=34 | 实到=33 | 考核通关=32 | 认证=28
ID=0099 | 单位ID=0099 | 批次=2 | 类型=业务操作与财务处理培训      | 日期=2026-02-09 | 形式=现场实操 | 应到=66 | 实到=63 | 考核通关=60 | 认证=0
ID=0097 | 单位ID=0097 | 批次=2 | 类型=数据准备与系统管理培训      | 日期=2026-01-30 | 形式=现场实操 | 应到=25 | 实到=21 | 考核通关=20 | 认证=0
ID=0101 | 单位ID=0101 | 批次=2 | 类型=双轨运行与上线切换培训      | 日期=2026-01-09 | 形式=现场实操 | 应到=79 | 实到=72 | 考核通关=65 | 认证=0
ID=0234 | 单位ID=0234 | 批次=3 | 类型=项目管理与关键用户培训      | 日期=2026-03-07 | 形式=混合实训 | 应到=22 | 实到=20 | 考核通关=18 | 认证=16
ID=0235 | 单位ID=0235 | 批次=3 | 类型=业务操作与财务处理培训      | 日期=2026-03-02 | 形式=现场实操 | 应到=52 | 实到=49 | 考核通关=47 | 认证=0
ID=0237 | 单位ID=0237 | 批次=3 | 类型=数据准备与系统管理培训      | 日期=2026-03-11 | 形式=现场实操 | 应到=59 | 实到=50 | 考核通关=48 | 认证=0
