=== 凭证分录复式记账明细抽样样本 (200条) ===
分录ID=000001 | 凭证ID=000001 | 科目=1002 银行存款   | 借方= 75081.91 | 贷方=     0.00
分录ID=000002 | 凭证ID=000001 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 75081.91
分录ID=000003 | 凭证ID=000002 | 科目=1002 银行存款   | 借方= 20140.71 | 贷方=     0.00
分录ID=000004 | 凭证ID=000002 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 20140.71
分录ID=000005 | 凭证ID=000003 | 科目=1002 银行存款   | 借方= 69001.67 | 贷方=     0.00
分录ID=000006 | 凭证ID=000003 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 69001.67
分录ID=000007 | 凭证ID=000004 | 科目=1002 银行存款   | 借方=  5522.91 | 贷方=     0.00
分录ID=000008 | 凭证ID=000004 | 科目=2202 应付账款   | 借方=     0.00 | 贷方=  5522.91
分录ID=000009 | 凭证ID=000005 | 科目=1002 银行存款   | 借方= 25268.87 | 贷方=     0.00
分录ID=000010 | 凭证ID=000005 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 25268.87
分录ID=000011 | 凭证ID=000006 | 科目=1002 银行存款   | 借方= 26073.14 | 贷方=     0.00
分录ID=000012 | 凭证ID=000006 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 26073.14
分录ID=000013 | 凭证ID=000007 | 科目=1002 银行存款   | 借方= 67376.56 | 贷方=     0.00
分录ID=000014 | 凭证ID=000007 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 67376.56
分录ID=000015 | 凭证ID=000008 | 科目=1002 银行存款   | 借方= 80307.80 | 贷方=     0.00
分录ID=000016 | 凭证ID=000008 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 80307.80
分录ID=000017 | 凭证ID=000009 | 科目=1002 银行存款   | 借方= 41884.24 | 贷方=     0.00
分录ID=000018 | 凭证ID=000009 | 科目=2202 应付账款   | 借方=     0.00 | 贷方= 41884.24
