=== 会计凭证抽样样本 (100张) ===
ID=000001 | 单位ID=0001 | 凭证号=V-0000001 | 状态=已集成   | 借方= 75081.91 | 贷方= 75081.91 | 生成=2026-08-16 08:20:51 | 集成=2026-08-16 10:04:51
ID=000002 | 单位ID=0001 | 凭证号=V-0000002 | 状态=已集成   | 借方= 20140.71 | 贷方= 20140.71 | 生成=2025-12-26 23:10:36 | 集成=2025-12-27 04:54:36
ID=000003 | 单位ID=0001 | 凭证号=V-0000003 | 状态=已集成   | 借方= 69001.67 | 贷方= 69001.67 | 生成=2026-06-09 16:58:38 | 集成=2026-06-09 20:56:38
ID=000004 | 单位ID=0001 | 凭证号=V-0000004 | 状态=已集成   | 借方=  5522.91 | 贷方=  5522.91 | 生成=2026-04-09 18:34:18 | 集成=2026-04-09 21:59:18
ID=000005 | 单位ID=0001 | 凭证号=V-0000005 | 状态=集成失败  | 借方= 25268.87 | 贷方= 25268.87 | 生成=2026-03-16 13:54:12 | 集成=无
ID=000006 | 单位ID=0001 | 凭证号=V-0000006 | 状态=生成成功  | 借方= 26073.14 | 贷方= 26073.14 | 生成=2026-08-23 12:46:37 | 集成=无
ID=000007 | 单位ID=0001 | 凭证号=V-0000007 | 状态=已集成   | 借方= 67376.56 | 贷方= 67376.56 | 生成=2026-04-22 10:49:58 | 集成=2026-04-22 11:52:58
ID=000008 | 单位ID=0001 | 凭证号=V-0000008 | 状态=已集成   | 借方= 80307.80 | 贷方= 80307.80 | 生成=2026-01-27 23:30:50 | 集成=2026-01-28 03:33:50
ID=000009 | 单位ID=0001 | 凭证号=V-0000009 | 状态=已集成   | 借方= 41884.24 | 贷方= 41884.24 | 生成=2026-07-01 05:48:27 | 集成=2026-07-01 08:58:27
ID=000010 | 单位ID=0001 | 凭证号=V-0000010 | 状态=已集成   | 借方= 80892.79 | 贷方= 80892.79 | 生成=2025-11-29 15:28:46 | 集成=2025-11-29 21:23:46
ID=000011 | 单位ID=0001 | 凭证号=V-0000011 | 状态=已集成   | 借方=141518.10 | 贷方=141518.10 | 生成=2026-05-22 16:25:49 | 集成=2026-05-22 17:48:49
ID=000012 | 单位ID=0001 | 凭证号=V-0000012 | 状态=已集成   | 借方=101841.69 | 贷方=101841.69 | 生成=2026-08-12 15:19:08 | 集成=2026-08-12 19:43:08
ID=000013 | 单位ID=0001 | 凭证号=V-0000013 | 状态=已集成   | 借方=227677.61 | 贷方=227677.61 | 生成=2026-07-31 00:50:17 | 集成=2026-07-31 05:31:17
ID=000014 | 单位ID=0001 | 凭证号=V-0000014 | 状态=已集成   | 借方= 22133.45 | 贷方= 22133.45 | 生成=2026-05-23 17:17:12 | 集成=2026-05-23 20:17:12
ID=000015 | 单位ID=0001 | 凭证号=V-0000015 | 状态=已集成   | 借方= 32766.45 | 贷方= 32766.45 | 生成=2026-04-10 21:57:37 | 集成=2026-04-11 02:16:37
ID=000016 | 单位ID=0001 | 凭证号=V-0000016 | 状态=集成失败  | 借方= 13652.05 | 贷方= 13652.05 | 生成=2026-07-09 02:04:37 | 集成=无
ID=000017 | 单位ID=0001 | 凭证号=V-0000017 | 状态=已集成   | 借方= 25295.90 | 贷方= 25295.90 | 生成=2026-06-22 14:02:26 | 集成=2026-06-22 14:18:26
